iso3,month,ndvi_mean
AFG,1,0.0984999984502792
AFG,2,0.095499999821186
AFG,3,0.1040000021457672
AFG,4,0.1310999989509582
AFG,5,0.1671999990940094
AFG,6,0.164900004863739
AFG,7,0.152099996805191
AFG,8,0.1418000012636184
AFG,9,0.1358000040054321
AFG,10,0.1255999952554702
AFG,11,0.1137999966740608
AFG,12,0.1053000018000602
AGO,1,0.6820999979972839
AGO,2,0.6930000185966492
AGO,3,0.6858000159263611
AGO,4,0.6638000011444092
AGO,5,0.5928000211715698
AGO,6,0.5110999941825867
AGO,7,0.4307000041007995
AGO,8,0.4034000039100647
AGO,9,0.4465999901294708
AGO,10,0.5012999773025513
AGO,11,0.5976999998092651
AGO,12,0.6607999801635742
ALB,1,0.4436999857425689
ALB,2,0.4408999979496002
ALB,3,0.4869000017642975
ALB,4,0.5787000060081482
ALB,5,0.6714000105857849
ALB,6,0.6572999954223633
ALB,7,0.6230000257492065
ALB,8,0.5827999711036682
ALB,9,0.5920000076293945
ALB,10,0.6222000122070312
ALB,11,0.576200008392334
ALB,12,0.5242999792098999
ARE,1,0.1062000021338462
ARE,2,0.1064999997615814
ARE,3,0.1102999970316886
ARE,4,0.1105000004172325
ARE,5,0.1080999970436096
ARE,6,0.1081999987363815
ARE,7,0.1050999984145164
ARE,8,0.1042999997735023
ARE,9,0.1071999967098236
ARE,10,0.1045999974012374
ARE,11,0.1070000007748603
ARE,12,0.1064999997615814
ARG,1,0.4174000024795532
ARG,2,0.4219000041484833
ARG,3,0.4462999999523163
ARG,4,0.4250999987125397
ARG,5,0.3982000052928924
ARG,6,0.3693000078201294
ARG,7,0.3348999917507171
ARG,8,0.3212000131607055
ARG,9,0.3231000006198883
ARG,10,0.3565999865531921
ARG,11,0.3837999999523163
ARG,12,0.3914999961853027
ARM,1,0.1115000024437904
ARM,2,0.1343999952077865
ARM,3,0.1644999980926513
ARM,4,0.4004000127315521
ARM,5,0.5752000212669373
ARM,6,0.6489999890327454
ARM,7,0.6054999828338623
ARM,8,0.5281000137329102
ARM,9,0.4586000144481659
ARM,10,0.4232000112533569
ARM,11,0.3131999969482422
ARM,12,0.2567999958992004
ATF,1,0.4287999868392944
ATF,2,0.4424999952316284
ATF,3,0.4390000104904175
ATF,4,0.4241000115871429
ATF,5,0.3433000147342682
ATF,6,0.1985000073909759
ATF,7,0.2008000016212463
ATF,8,0.3075999915599823
ATF,9,0.3084000051021576
ATF,10,0.3169000148773193
ATF,11,0.3291000127792358
ATF,12,0.398499995470047
AUS,1,0.3125
AUS,2,0.3388000130653381
AUS,3,0.3524999916553497
AUS,4,0.3610999882221222
AUS,5,0.3607999980449676
AUS,6,0.3643999993801117
AUS,7,0.3704999983310699
AUS,8,0.3641000092029571
AUS,9,0.3402000069618225
AUS,10,0.315200001001358
AUS,11,0.2865999937057495
AUS,12,0.3145000040531158
AUT,1,0.3745000064373016
AUT,2,0.4241000115871429
AUT,3,0.4634999930858612
AUT,4,0.5468999743461609
AUT,5,0.6897000074386597
AUT,6,0.7156999707221985
AUT,7,0.7204999923706055
AUT,8,0.7139000296592712
AUT,9,0.6944000124931335
AUT,10,0.6473000049591064
AUT,11,0.6186000108718872
AUT,12,0.554099977016449
AZE,1,0.3102000057697296
AZE,2,0.3050999939441681
AZE,3,0.3512000143527984
AZE,4,0.4837000072002411
AZE,5,0.5257999897003174
AZE,6,0.4866000115871429
AZE,7,0.4711000025272369
AZE,8,0.4670000076293945
AZE,9,0.4253999888896942
AZE,10,0.4097999930381775
AZE,11,0.3544000089168548
AZE,12,0.3352999985218048
BDI,1,0.6861000061035156
BDI,2,0.6620000004768372
BDI,3,0.6797000169754028
BDI,4,0.7113000154495239
BDI,5,0.6711999773979187
BDI,6,0.6025000214576721
BDI,7,0.5317000150680542
BDI,8,0.4596999883651733
BDI,9,0.4327000081539154
BDI,10,0.4760999977588653
BDI,11,0.60589998960495
BDI,12,0.7081000208854675
BEL,1,0.5629000067710876
BEL,2,0.5776000022888184
BEL,3,0.5918999910354614
BEL,4,0.6589000225067139
BEL,5,0.6922000050544739
BEL,6,0.6739000082015991
BEL,7,0.6776000261306763
BEL,8,0.7095999717712402
BEL,9,0.7099000215530396
BEL,10,0.7129999995231628
BEL,11,0.6650000214576721
BEL,12,0.6133999824523926
BEN,1,0.3815999925136566
BEN,2,0.3091000020503998
BEN,3,0.3398000001907348
BEN,4,0.4163999855518341
BEN,5,0.4973999857902527
